restaurant_id,name,city,state,cuisine_type,price_band,rating,review_count,address,postal_code,source_url,has_menu,date_accessed
1198474,Playa Miami,Miami Beach,FL,"Bar / Lounge / Bottle Service, Steakhouse, Seafood",$31 to $50,2.5,24,915 Lincoln Rd,33139,https://www.opentable.com/restaurant/profile/1198474,True,2026-01-24T18:03:21.622601
1400443,Le Bistro,Miami,FL,French,$30 and under,3.7,7,1440 NW N River Dr,33125,https://www.opentable.com/restaurant/profile/1400443,False,2026-01-24T18:03:21.623156
7045,Michael's Genuine Food & Drink - Miami,Miami,FL,"Contemporary American, Global, International",$31 to $50,4.6,356,130 N.E. 40th Street,33137,https://www.opentable.com/restaurant/profile/7045,False,2026-01-24T18:03:21.623162
161446,Elcielo Miami,Miami,FL,"Latin American, Colombian, Contemporary Latin",$50 and over,4.8,85,31 SE 5th Street,33131,https://www.opentable.com/restaurant/profile/161446,False,2026-01-24T18:03:21.624877
1307212,Avenue,Miami,FL,"Fusion / Eclectic, American, Cocktail Bar",$30 and under,0.0,0,3404 N Miami Ave,33127-3526,https://www.opentable.com/restaurant/profile/1307212,False,2026-01-24T18:03:21.625502
1329661,GORDON RAMSAY HELL'S KITCHEN,Miami,FL,"American, Contemporary European",$50 and over,4.6,560,333 Biscayne Blvd Way,33132,https://www.opentable.com/restaurant/profile/1329661,False,2026-01-24T18:03:21.625507
1401268,Rosemary's Miami,Miami,FL,"Italian, Seafood, Farm-to-table",$31 to $50,4.7,68,322 NW 25th St,33127-4332,https://www.opentable.com/restaurant/profile/1401268,True,2026-01-24T18:03:21.625511
1356508,Elia on the River,Miami,FL,"Italian, Contemporary Italian, reserved",$30 and under,4.6,346,1440 NW N River Dr suite 195,33125,https://www.opentable.com/restaurant/profile/1356508,False,2026-01-24T18:03:21.625862
23725,Rusty Pelican - Miami,Key Biscayne,FL,Seafood,$31 to $50,4.6,613,3201 Rickenbacker Causeway,33149,https://www.opentable.com/restaurant/profile/23725,False,2026-01-24T18:03:21.625867
1388101,Oro,Miami Beach,FL,International,$50 and over,4.4,215,818 Lincoln Rd,33139-2816,https://www.opentable.com/restaurant/profile/1388101,False,2026-01-24T18:03:21.625875
1384252,CLAUDIE,Miami,FL,"French, Mediterranean",$50 and over,4.5,550,1101 Brickell Ave,33131-3105,https://www.opentable.com/restaurant/profile/1384252,True,2026-01-24T18:03:21.625880
1259995,Contessa - Miami,Miami,FL,"Italian, Contemporary Italian",$31 to $50,4.6,166,115 NE 41st St,33137,https://www.opentable.com/restaurant/profile/1259995,False,2026-01-24T18:03:21.626018
1269859,Giselle Miami,Miami,FL,"Steakhouse, Mediterranean, Asian",$50 and over,4.7,228,15 NE 11th St,33132,https://www.opentable.com/restaurant/profile/1269859,False,2026-01-24T18:03:21.626022
1358590,Rosa Negra - Miami,Miami,FL,"Steakhouse, Latin American, Seafood",$31 to $50,4.5,355,1346 S Miami Ave,33130-4315,https://www.opentable.com/restaurant/profile/1358590,False,2026-01-24T18:03:21.626027
215584,Quinto,Miami,FL,"Steakhouse, Latin American, South American",$31 to $50,4.6,56,788 Brickell Plaza,33131,https://www.opentable.com/restaurant/profile/215584,False,2026-01-24T18:03:21.626219
